iso,id_1,name_1,time_e,time_e_str,lat,lon,connectivity
VEN,2,Anzoátegui,1563768000,22-Jul-2019 04:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563771600,22-Jul-2019 05:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563775200,22-Jul-2019 06:00:00,10.1061147498108,-64.7334323737705,90
VEN,2,Anzoátegui,1563778800,22-Jul-2019 07:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563782400,22-Jul-2019 08:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563786000,22-Jul-2019 09:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563789600,22-Jul-2019 10:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563793200,22-Jul-2019 11:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563796800,22-Jul-2019 12:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563800400,22-Jul-2019 13:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563804000,22-Jul-2019 14:00:00,10.1061147498108,-64.7334323737705,100
VEN,2,Anzoátegui,1563807600,22-Jul-2019 15:00:00,10.1061147498108,-64.7334323737705,80
VEN,2,Anzoátegui,1563811200,22-Jul-2019 16:00:00,10.1061147498108,-64.7334323737705,50
VEN,2,Anzoátegui,1563814800,22-Jul-2019 17:00:00,10.1061147498108,-64.7334323737705,30
VEN,2,Anzoátegui,1563818400,22-Jul-2019 18:00:00,10.1061147498108,-64.7334323737705,20
VEN,2,Anzoátegui,1563822000,22-Jul-2019 19:00:00,10.1061147498108,-64.7334323737705,6
VEN,2,Anzoátegui,1563825600,22-Jul-2019 20:00:00,10.1061147498108,-64.7334323737705,7
VEN,2,Anzoátegui,1563829200,22-Jul-2019 21:00:00,10.1061147498108,-64.7334323737705,10
VEN,2,Anzoátegui,1563832800,22-Jul-2019 22:00:00,10.1061147498108,-64.7334323737705,20
VEN,2,Anzoátegui,1563836400,22-Jul-2019 23:00:00,10.1061147498108,-64.7334323737705,30
VEN,2,Anzoátegui,1563840000,23-Jul-2019 00:00:00,10.1061147498108,-64.7334323737705,30
VEN,2,Anzoátegui,1563843600,23-Jul-2019 01:00:00,10.1061147498108,-64.7334323737705,40
VEN,2,Anzoátegui,1563847200,23-Jul-2019 02:00:00,10.1061147498108,-64.7334323737705,40
VEN,2,Anzoátegui,1563850800,23-Jul-2019 03:00:00,10.1061147498108,-64.7334323737705,50
VEN,2,Anzoátegui,1563854400,23-Jul-2019 04:00:00,10.1061147498108,-64.7334323737705,50
VEN,2,Anzoátegui,1563858000,23-Jul-2019 05:00:00,10.1061147498108,-64.7334323737705,50
VEN,2,Anzoátegui,1563861600,23-Jul-2019 06:00:00,10.1061147498108,-64.7334323737705,60
VEN,2,Anzoátegui,1563865200,23-Jul-2019 07:00:00,10.1061147498108,-64.7334323737705,60
VEN,2,Anzoátegui,1563868800,23-Jul-2019 08:00:00,10.1061147498108,-64.7334323737705,60
VEN,2,Anzoátegui,1563872400,23-Jul-2019 09:00:00,10.1061147498108,-64.7334323737705,60
VEN,2,Anzoátegui,1563876000,23-Jul-2019 10:00:00,10.1061147498108,-64.7334323737705,70
VEN,2,Anzoátegui,1563879600,23-Jul-2019 11:00:00,10.1061147498108,-64.7334323737705,70
VEN,2,Anzoátegui,1563883200,23-Jul-2019 12:00:00,10.1061147498108,-64.7334323737705,80
VEN,2,Anzoátegui,1563886800,23-Jul-2019 13:00:00,10.1061147498108,-64.7334323737705,80
