country_iso_three_char_code,country_iso_name,adm1_name,adm1_unique_identifier,timezone_offset,timezone_name,time_local,latency_indx
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 06:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 09:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 12:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 15:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 18:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,11-Dec-2021 21:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 03:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 06:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 12:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,12-Dec-2021 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 09:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 12:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 15:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,13-Dec-2021 21:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 03:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 06:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 12:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 15:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 18:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,14-Dec-2021 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 00:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 03:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 06:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 09:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 12:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 15:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 18:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,15-Dec-2021 21:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 00:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 03:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 06:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 09:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 12:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 18:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,16-Dec-2021 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 00:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 06:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 12:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 15:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 18:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,17-Dec-2021 21:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 03:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 06:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 12:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 15:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 18:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,18-Dec-2021 21:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 00:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 06:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 09:00:00,100.8
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 12:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 15:00:00,101.7
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 18:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,19-Dec-2021 21:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 00:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 03:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 06:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 09:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 12:00:00,101.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 15:00:00,109.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 18:00:00,105.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,20-Dec-2021 21:00:00,105.2
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 00:00:00,103
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 06:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 09:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 12:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,21-Dec-2021 21:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 06:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 09:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 12:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 15:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 18:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,22-Dec-2021 21:00:00,102.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 00:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 03:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 06:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 09:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 12:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 15:00:00,99.9
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 18:00:00,100.3
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,23-Dec-2021 21:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 00:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 06:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 09:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 12:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 15:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 18:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,24-Dec-2021 21:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 00:00:00,99.5
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 03:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 06:00:00,98.1
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 09:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 12:00:00,98.6
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 15:00:00,99
RUS,Russia,Kursk,RUS-42,3,Europe/Moscow,25-Dec-2021 18:00:00,99
